Taxon,Current taxon name,Common name,Legislation giving protection,Schedule or Annex listing
Bird,Carduelis chloris,Greenfinch,WCA 1981,Schedule 3 (Part I)
Bird,Tringa nebularia,Greenshank,WCA 1981,Schedule 1 (Part I)
Mammal,Halichoerus grypus,Grey seal,HR 1994,Schedule 3
Bird,Anser anser,Greylag goose,WCA 1981,"Schedule 1 (Part I in Outer Hebrides, Caithness & Sutherland and Wester Ross only)"
Bird,Anser anser,Greylag goose,WCA 1981,"Schedule 1 (Part II in Outer Hebrides, Caithness & Sutherland and Wester Ross only)"
Bird,Anser anser,Greylag goose,WCA 1981,Schedule 2
Bird,Falco rusticolus,Gyr falcon,WCA 1981,Schedule 1 (Part I)
Mammal,Phoca groenlandica (otherwise known as Pagophilus groenlandicus),Harp seal,HR 1994,Schedule 3
Bird,Circus spp,Harriers (all species),WCA 1981,Schedule 1 (Part I)
Reptile,Eretmochelys imbricata,Hawksbill turtle,HR 1994,Schedule 2: European protected species
Mammal,Erinaceus europaeus,Hedgehog,WCA 1981,Schedule 6
Bird,Circus cyaneus,Hen harrier,WCA 1981,Schedule 1 (Part I)
Bird,Circus cyaneus,Hen harrier,WCA 1981,Schedule 1A
Bird,Falco subbuteo,Hobby,WCA 1981,Schedule 1 (Part I)
Bird,Pernis apivorus,Honey buzzard,WCA 1981,Schedule 1 (Part I)
Bird,Pernis apivorus,Honey buzzard,WCA 1981,Schedule 4
Mammal,Cystophora cristata,Hooded seal,HR 1994,Schedule 3
Bird,Upupa epops,Hoopoe,WCA 1981,Schedule 1 (Part I)
Bird,Corvus monedula,Jackdaw,WCA 1981,Schedule 3 (Part I)
Bird,Garrulus glandarius,Jay,WCA 1981,Schedule 3 (Part I)
Reptile,Lepidochelys kempii,Kemp's ridley turtle,HR 1994,Schedule 2: European protected species
Vascular Plant,Trichomanes speciosum,Killarney fern,HR 1994,Schedule 4: European protected species
Bird,Alcedo atthis,Kingfisher,WCA 1981,Schedule 1 (Part I)
Bird,Calcarius lapponicus,Lapland bunting,WCA 1981,Schedule 1 (Part I)
Vascular Plant,Dactylorhiza traunsteineroides ssp lapponica,Lapland marsh-orchid,WCA 1981,Schedule 8
Butterfly,Coenonympha tullia,Large heath,WCA 1981,Schedule 5 4
Moss,Scorpidium turgescens ,Large yellow feather-moss,WCA 1981,Schedule 8
Bird,Oceanodroma leucorhoa,Leach’s petrel,WCA 1981,Schedule 1 (Part I)
Reptile,Dermochelys coriacea,Leatherback turtle,HR 1994,Schedule 2: European protected species
Liverwort,Adelanthus lindenbergianus      ,Lindenberg's leafy liverwort,WCA 1981,Schedule 8
Bird,Carduelis cannabina,Linnet,WCA 1981,Schedule 3 (Part I)
Bird,Larus minutus,Little gull,WCA 1981,Schedule 1 (Part I)
Bird,Charadrius dubius ,Little ringed plover,WCA 1981,Schedule 1 (Part I)
Bird,Sterna albifrons,Little tern,WCA 1981,Schedule 1 (Part I)
Reptile,Caretta caretta,Loggerhead turtle,HR 1994,Schedule 2: European protected species
Moss,Anomodon longifolius,Long-leaved anomodon,WCA 1981,Schedule 8
Moss,Bryum neodamense ,Long-leaved thread-moss,WCA 1981,Schedule 8
Bird,Clangula hyemalis,Long-tailed duck,WCA 1981,Schedule 1 (Part I)
Bird,Pica pica,Magpie,WCA 1981,Schedule 3 (Part I)
Bird,Anas platyrynchos ,Mallard,WCA 1981,Schedule 2
Bird,Anas platyrynchos ,Mallard,WCA 1981,Schedule 3 (Part III)
Liverwort,Jamesoniella undulifolia  ,Marsh earwort,WCA 1981,Schedule 8
Butterfly,Euphydryas aurinia,Marsh fritillary,WCA 1981,Schedule 5 
Bird,Circus aeruginosus,Marsh harrier,WCA 1981,Schedule 1 (Part I)
Bird,Circus aeruginosus,Marsh harrier,WCA 1981,Schedule 4
Annelid worm,Hirudo medicinalis,Medicinal leech,WCA 1981,Schedule 5
Bird,Larus melanocephalus,Mediterranean gull,WCA 1981,Schedule 1 (Part I)
Bird,Falco columbarius,Merlin,WCA 1981,Schedule 1 (Part I)
Bird,Falco columbarius,Merlin,WCA 1981,Schedule 4
Bird,Circus pygargus,Montagu's harrier,WCA 1981,Schedule 1 (Part I)
Bird,Circus pygargus,Montagu's harrier,WCA 1981,Schedule 4
Bird,Gallinula chloropus,Moorhen,WCA 1981,Schedule 2
Mammal,Lepus timidus,Mountain hare,HR 1994,Schedule 3
Mammal,Lepus timidus,Mountain hare,WCA 1981,Schedule 5
Butterfly,Erebia epiphron,Mountain ringlet,WCA 1981,Schedule 5 4
Amphibian,Bufo calamita,Natterjack toad,HR 1994,Schedule 2: European protected species
Moth,Zygaena viciae,New Forest burnet,WCA 1981,Schedule 5
Liverwort,Leiocolea rutheana,Norfolk flapwort,WCA 1981,Schedule 8
Butterfly,Aricia artaxerxes,Northern brown argus,WCA 1981,Schedule 5 4
Mollusc,Thyasira gouldi,Northern hatchet-shell,WCA 1981,Schedule 5 
Vascular Plant,Hieracium northroense,Northroe hawkweed,WCA 1981,Schedule 8
Vascular Plant,Arenaria norvegica,Norwegian sandwort,WCA 1981,Schedule 8
Fungi,Piptoporus quercinus,Oak polypore,WCA 1981,Schedule 8
Vascular Plant,Woodsia ilvensis ,Oblong woodsia ,WCA 1981,Schedule 8
Lichen,Parmentaria chilensis,Oil-stain parmentaria ,WCA 1981,Schedule 8
Lichen,Caloplaca luteoalba,Orange-fruited elm-lichen,WCA 1981,Schedule 8
Bird,Pandion haliaetus,Osprey,WCA 1981,Schedule 1 (Part I)
Bird,Pandion haliaetus,Osprey,WCA 1981,Schedule 4
Mammal,Lutra lutra,Otter,HR 1994,Schedule 2: European protected species
Amphibian,Triturus helveticus,Palmate newt,WCA 1981,Schedule 5 4
Butterfly,Boloria euphrosyne,Pearl-bordered fritillary,WCA 1981,Schedule 5 4
Bird,Falco perigrinus,Peregrine falcon,WCA 1981,Schedule 1 (Part I)
Bird,Falco perigrinus,Peregrine falcon,WCA 1981,Schedule 4
Liverwort,Petalophyllum ralfsii   ,Petalwort,WCA 1981,Schedule 8
Vascular Plant,Crassula aquatica,Pigmyweed,WCA 1981,Schedule 8
Mammal,Martes martes,Pine marten,HR 1994,Schedule 3
Mammal,Martes martes,Pine marten,WCA 1981,Schedule 5
Bird,Anser brachyrhynchus,Pink-footed goose,WCA 1981,Schedule 2
Bird,Anas acuta,Pintail,WCA 1981,Schedule 1 (Part II)
Bird,Anas acuta,Pintail,WCA 1981,Schedule 2
Bird,Anas acuta,Pintail,WCA 1981,Schedule 3 (Part III)
Bird,Aythya ferina,Pochard,WCA 1981,Schedule 2
Bird,Aythya ferina,Pochard,WCA 1981,Schedule 3 (Part III)
Liverwort,Gymnomitrion apiculatum  ,Pointed frostwort,WCA 1981,Schedule 8
Moss,Hygrohypnum polare  ,Polar feather-moss,WCA 1981,Schedule 8
Mammal,Mustela putorius (otherwise known as Putorius putorius),Polecat,HR 1994,Schedule 3
Vascular Plant,Homogyne alpina,Purple colts-foot,WCA 1981,Schedule 8
Bird,Ardea purpurea,Purple heron,WCA 1981,Schedule 1 (Part I)
Bird,Calidris maritima,Purple sandpiper,WCA 1981,Schedule 1 (Part I)
Bird,Coturnix coturnix,Quail,WCA 1981,Schedule 1 (Part I)
Lichen,Pseudocyphellaria lacerata,Ragged pseudocyphellaria,WCA 1981,Schedule 8
Bird,Milvus milvus,Red kite,WCA 1981,Schedule 1 (Part I)
Bird,Milvus milvus,Red kite,WCA 1981,Schedule 1A
Mammal,Sciurus vulgaris,Red squirrel,WCA 1981,Schedule 5
Mammal,Sciurus vulgaris,Red squirrel,WCA 1981,Schedule 6
Bird,Lanius collurio,Red-backed shrike,WCA 1981,Schedule 1 (Part I)
Bird,Phalaropus lobatus,Red-necked phalarope,WCA 1981,Schedule 1 (Part I)
Bird,Carduelis flammea,Redpoll,WCA 1981,Schedule 3 (Part I)
Bird,Gavia stellata,Red-throated diver,WCA 1981,Schedule 1 (Part I)
Bird,Turdus iliacus,Redwing,WCA 1981,Schedule 1 (Part I)
Bird,Emberiza schoeniclus,Reed bunting,WCA 1981,Schedule 3 (Part I)
Mammal,Phoca hispida (otherwise known as Pusa hispida),Ringed seal,HR 1994,Schedule 3
Lichen,Collema dichotomum,River jelly-lichen,WCA 1981,Schedule 8
Fish,Lampetra fluviatilis,River lamprey,HR 1994,Schedule 3
Vascular Plant,Potentilla rupestris,Rock cinquefoil,WCA 1981,Schedule 8
Bird,Sterna dougallii,Roseate tern,WCA 1981,Schedule 1 (Part I)
Bird,Carpodacus erythrinus,Rosefinch,WCA 1981,Schedule 1 (Part I)
Vascular Plant,Althaea hirsuta,Rough marsh-mallow,WCA 1981,Schedule 8
Bird,Philomachus pugnax,Ruff,WCA 1981,Schedule 1 (Part I)
Lichen,Psora rubiformis ,Rusty alpine spora,WCA 1981,Schedule 8
Bird,Aythya marila,Scaup ,WCA 1981,Schedule 1 (Part I)
Moss,Bryum schleicheri ,Schleicher's thread-moss,WCA 1981,Schedule 8
Bird,Serinus serinus,Serin,WCA 1981,Schedule 1 (Part I)
Vascular Plant,Hieracium zetlandicum,Shetland hawkweed,WCA 1981,Schedule 8
Bird,Eremophila alpestris,Shore lark,WCA 1981,Schedule 1 (Part I)
Bird,Anas clypeata,Shoveler,WCA 1981,Schedule 2
Bird,Anas clypeata,Shoveler,WCA 1981,Schedule 3 (Part III)
Mammal,Sorex spp,Shrews (all species),WCA 1981,Schedule 6
Bird,Carduelis spinus,Siskin,WCA 1981,Schedule 3 (Part I)
Bird,Podiceps auritus,Slavonian grebe,WCA 1981,Schedule 1 (Part I)
Moss,Hamatocaulis (Drepanocladus) vernicosus ,Slender green feather-moss,WCA 1981,Schedule 8
Vascular Plant,Najas flexilis,Slender naiad,HR 1994,Schedule 4: European protected species
Reptile,Anguis fragilis,Slow worm,WCA 1981,"Schedule 5 1, 4"
Vascular Plant,Alyssum alyssoides,Small Alison,WCA 1981,Schedule 8
Butterfly,Cupido minimus,Small blue,WCA 1981,Schedule 5 4
Vascular Plant,Pulicaria vulgaris,Small fleabane,WCA 1981,Schedule 8
Vascular Plant,Ononis reclinata,Small restharrow,WCA 1981,Schedule 8
Amphibian,Triturus vulgaris,Smooth newt,WCA 1981,Schedule 5 4
Bird,Plectrophenax nivalis,Snow bunting,WCA 1981,Schedule 1 (Part I)
Lichen,Caloplaca nivalis,Snow caloplaca,WCA 1981,Schedule 8
Bird,Nyctea scandiaca,Snowy owl,WCA 1981,Schedule 1 (Part I)
Bird,Turdus philomelos,Song thrush,WCA 1981,Schedule 3 (Part I)
Bird,Platalea leucorodia,Spoonbill,WCA 1981,Schedule 1 (Part I)
Bird,Porzana porzana,Spotted crake,WCA 1981,Schedule 1 (Part I)
Bird,Sturnus vulgaris,Starling,WCA 1981,Schedule 3 (Part I)
Vascular Plant,Chenopodium vulvaria,Stinking goosefoot,WCA 1981,Schedule 8
Fish,Acipenser sturio,Sturgeon,HR 1994,Schedule 2: European protected species
Crustacean,Triops cancriformis,Tadpole shrimp/Apus,WCA 1981,Schedule 5 
Lichen,Lecanora achariana,Tarn lecanora,WCA 1981,Schedule 8
Bird,Anas crecca,Teal,WCA 1981,Schedule 2
Bird,Anas crecca,Teal,WCA 1981,Schedule 3 (Part III)
Bird,Calidris temminckii,Temminck’s stint ,WCA 1981,Schedule 1 (Part I)
Lichen,Catapyrenium psoromoides ,Tree catapyrenium,WCA 1981,Schedule 8
Bird,Aythya fuligula,Tufted duck,WCA 1981,Schedule 2
Bird,Aythya fuligula,Tufted duck,WCA 1981,Schedule 3 (Part III)
Vascular Plant,Saxifraga cespitosa   ,Tufted saxifrage ,WCA 1981,Schedule 8
Liverwort,Geocalyx graveolens,Turpswort,WCA 1981,Schedule 8
Fish,Alosa fallax,Twaite shad,HR 1994,Schedule 3
Fish,Alosa fallax,Twaite shad,WCA 1981,Schedule 5 3a
Bird,Carduelis flavirostris,Twite,WCA 1981,Schedule 3 (Part I)
Lichen,Cladonia trassii,Upright mountain-cladonia,WCA 1981,Schedule 8
Moss,Hypnum vaucheri ,Vaucher's feather-moss,WCA 1981,Schedule 8
Bird,Melanitta fusca,Velvet scoter,WCA 1981,Schedule 1 (Part I)
Fish,Coregonus albula,Vendace,HR 1994,Schedule 3
Fish,Coregonus albula,Vendace,WCA 1981,Schedule 5  
Reptile,Zootoca vivipara,Viviparous lizard,WCA 1981,"Schedule 5 1, 4"
Mammal,Arvicola terrestris,Water vole,WCA 1981,Schedule 5 3 
Vascular Plant,Hieracium attenuatifolium,Weak-leaved hawkweed,WCA 1981,Schedule 8
Bird,Numenius phaeopus,Whimbrel,WCA 1981,Schedule 1 (Part I)
Bird,Gavia adamsii,White-billed diver,WCA 1981,Schedule 1 (Part I)
Fish,Coregonus lavaretus,Whitefish,HR 1994,Schedule 3
Fish,Coregonus lavaretus,Whitefish,WCA 1981,Schedule 5  
Bird,Anser albifrons,White-fronted goose,WCA 1981,Schedule 2
Bird,Haliaeetus albicilla,White-tailed eagle ,WCA 1981,Schedule 1 (Part I)
Bird,Haliaeetus albicilla,White-tailed eagle ,WCA 1981,Schedule 1A
Bird,Haliaeetus albicilla,White-tailed eagle ,WCA 1981,Schedule 4
Bird,Haliaeetus albicilla,White-tailed eagle ,WCA 1981,Schedule A1
Bird,Cygnus cygnus,Whooper swan,WCA 1981,Schedule 1 (Part I)
Vascular Plant,Polygonatum verticillatum,Whorled Solomon's-seal,WCA 1981,Schedule 8
Bird,Anas penelope,Wigeon,WCA 1981,Schedule 2
Bird,Anas penelope,Wigeon,WCA 1981,Schedule 3 (Part III)
Mammal,Felis silvestris,Wildcat,HR 1994,Schedule 2: European protected species
Bird,Tringa glareola,Wood sandpiper,WCA 1981,Schedule 1 (Part I)
Bird,Scolopax rusticola,Woodcock,WCA 1981,Schedule 2
Bird,Scolopax rusticola,Woodcock,WCA 1981,Schedule 3 (Part III)
Bird,Columba palumbus,Woodpigeon,WCA 1981,Schedule 3 (Part II)
Bird,Jynx torquilla,Wryneck ,WCA 1981,Schedule 1 (Part I)
Vascular Plant,Saxifraga hirculus,Yellow marsh saxifrage,HR 1994,Schedule 4: European protected species
Bird,Emberiza citrinella,Yellowhammer,WCA 1981,Schedule 3 (Part I)
Vascular Plant,Epipactis youngiana,Young's helleborine,WCA 1981,Schedule 8
